trip_id,start_time,end_time,headway_secs
MONFRI1,06:00:00,06:30:00,900
MONFRI1,06:30:00,07:30:00,300
MONFRI1,07:30:00,23:00:00,1800
SAT1,06:00:00,07:00:00,900
SAT1,07:00:00,08:30:00,600
SAT1,08:30:00,23:00:00,1800
SUN1,06:00:00,07:30:00,900
SUN1,07:30:00,08:30:00,600
SUN1,08:30:00,23:00:00,1800
MONFRI2,06:00:00,06:30:00,900
MONFRI2,06:30:00,07:30:00,300
MONFRI2,07:30:00,23:00:00,1800
SAT2,06:00:00,07:00:00,900
SAT2,07:00:00,08:30:00,600
SAT2,08:30:00,23:00:00,1800
SUN2,06:00:00,07:30:00,900
SUN2,07:30:00,08:30:00,600
SUN2,08:30:00,23:00:00,1800
MONFRI3,06:00:00,06:30:00,900
MONFRI3,06:30:00,07:30:00,300
MONFRI3,07:30:00,23:00:00,1800
SAT3,06:00:00,07:00:00,900
SAT3,07:00:00,08:30:00,600
SAT3,08:30:00,23:00:00,1800
SUN3,06:00:00,07:30:00,900
SUN3,07:30:00,08:30:00,600
SUN3,08:30:00,23:00:00,1800
MONFRI4,06:00:00,06:30:00,900
MONFRI4,06:30:00,07:30:00,300
MONFRI4,07:30:00,23:00:00,1800
SAT4,06:00:00,07:00:00,900
SAT4,07:00:00,08:30:00,600
SAT4,08:30:00,23:00:00,1800
SUN4,06:00:00,07:30:00,900
SUN4,07:30:00,08:30:00,600
SUN4,08:30:00,23:00:00,1800
MONFRI5,06:00:00,06:30:00,900
MONFRI5,06:30:00,07:30:00,300
MONFRI5,07:30:00,23:00:00,1800
SAT5,06:00:00,07:00:00,900
SAT5,07:00:00,08:30:00,600
SAT5,08:30:00,23:00:00,1800
SUN5,06:00:00,07:30:00,900
SUN5,07:30:00,08:30:00,600
SUN5,08:30:00,23:00:00,1800
MONFRI6,06:00:00,06:30:00,900
MONFRI6,06:30:00,07:30:00,300
MONFRI6,07:30:00,23:00:00,1800
SAT6,06:00:00,07:00:00,900
SAT6,07:00:00,08:30:00,600
SAT6,08:30:00,23:00:00,1800
SUN6,06:00:00,07:30:00,900
SUN6,07:30:00,08:30:00,600
SUN6,08:30:00,23:00:00,1800
MONFRI7,06:00:00,06:30:00,900
