route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,myrapidkl,KJ,Kelana Jaya Line,From Kelana Jaya to Gombak,2,,,
2,myrapidkl,ST,Ampang Line,From Chan Sow Lin to Sentul Timur,2,,,
3,myrapidkl,AG,Ampang Line,From Chan Sow Lin to Ampang,2,,,
4,myrapidkl,PH,Ampang Line,From Chan Sow Lin to Sri Petaling,2,,,
5,myrapidkl,B103,Titiwangsa,From Titiwangsa to KLCC,3,,,
6,myrapidkl,B112,Maluri,From Maluri to KL Sentral,3,,,
7,myrapidkl,B114,Maluri,From Maluri to Titiwangsa via KLCC,3,,,
8,myrapidkl,B115,Jalan Sultan Mohamad,From Jalan Sultan Mohamad to Jalan Duta,3,,,
10,myrapidkl,T203,Stesen LRT Gombak,"From Stesen LRT Gombak, Jalan Terminal Duta to Pinggiran Batu Caves",3,,,
11,myrapidkl,T204,Taman Greenwood,"From Taman Greenwood, Jalan Batu Caves to Kampung Nakhoda, Jalan Nakhoda Kanan via Taman Samudera",3,,,
12,myrapidkl,T205,Stesen LRT Taman Melati,"From Stesen LRT Taman Melati, Persiaran Pertahanan to Setapak Garden",3,,,
17,myrapidkl,U222,Jinjang Utara,From Jinjang Utara to Medan Pasar,3,,,
18,myrapidkl,T223,Taman Dato Senu,"From Taman Dato Senu, Jalan Dato Senu 26 to Titiwangsa, Jalan Tun Razak",3,,,
20,myrapidkl,T225,Kompleks Sungai Mas,"From Kompleks Sungai Mas, Jalan Ipoh to Taman Mastiara, Jalan 1/18B",3,,,
21,myrapidkl,T226,Stesen LRT Taman Melati,From Stesen LRT Taman Melati to Taman Melewar,3,,,
22,myrapidkl,T229,Metro Prima,From Metro Prima to Bandar Baru Selayang,3,,,
23,myrapidkl,T231,Stesen LRT Gombak,From Stesen LRT Gombak to UIA,3,,,
24,myrapidkl,T301,Stesen LRT Wangsa Maju,From Stesen LRT Wangsa Maju to Wangsa Walk / Carrefour,3,,,
25,myrapidkl,T302,Stesen LRT Wangsa Maju,"From Stesen LRT Wangsa Maju to Seksyen 10, Wangsa Maju",3,,,
26,myrapidkl,T304,Stesen LRT Wangsa Maju,From Stesen LRT Wangsa Maju to Taman Melawati,3,,,
27,myrapidkl,T305,Stesen LRT Wangsa Maju,From Stesen LRT Wangsa Maju to Ukay Perdana,3,,,
28,myrapidkl,T307,Stesen LRT Dato Keramat,From Stesen LRT Dato Keramat to Ampang Point,3,,,
29,myrapidkl,T309,Stesen LRT Setiawangsa,From Stesen LRT Setiawangsa to Taman Setiawangsa,3,,,
30,myrapidkl,T320,Bukit Indah,From Bukit Indah to Ampang Point,3,,,
31,myrapidkl,T323,Stesen LRT Cempaka,From Stesen LRT Cempaka to Tasik Tambahan via Taman Mawar,3,,,
32,myrapidkl,T324,Stesen LRT Cempaka,From Stesen LRT Cempaka to Taman Bukit Permai,3,,,
