shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3,3.171996,101.696034,1,0.0
3,3.171899,101.696011,2,0.0
3,3.171792,101.696484,3,0.0
3,3.171641,101.697171,4,0.0
3,3.171639,101.697172,5,0.0
3,3.172014,101.697242,6,0.0
3,3.172284,101.697288,7,0.0
3,3.172729,101.69736,8,0.0
3,3.172886,101.696797,9,0.0
3,3.172994,101.696409,10,0.0
3,3.173026,101.696297,11,0.0
3,3.173074,101.696251,12,0.0
3,3.173158,101.696205,13,0.0
3,3.173188,101.696153,14,0.0
3,3.173199,101.696115,15,0.0
3,3.172996,101.69563,16,0.0
3,3.172861,101.69524,17,0.0
3,3.172814,101.695096,18,0.0
3,3.17277,101.694965,19,0.0
3,3.172725,101.694842,20,0.0
3,3.172665,101.694737,21,0.0
3,3.172602,101.694602,22,0.0
3,3.172433,101.694178,23,0.0
3,3.172162,101.693536,24,0.0
3,3.172003,101.693205,25,0.0
3,3.171872,101.692995,26,0.0
3,3.171812,101.692957,27,0.0
3,3.171789,101.69295,28,0.0
3,3.17171,101.692942,29,0.0
3,3.167583,101.699521,30,0.0
3,3.167627,101.699641,31,0.0
3,3.167702,101.699842,32,0.0
3,3.167753,101.69999,33,0.0
3,3.167801,101.700119,34,0.0
3,3.167875,101.700328,35,0.0
3,3.167948,101.700526,36,0.0
3,3.167983,101.700667,37,0.0
3,3.167988,101.700789,38,0.0
3,3.16798,101.701321,39,0.0
3,3.167995,101.701927,40,0.0
3,3.167979,101.702973,41,0.0
3,3.167982,101.703842,42,0.0
3,3.167953,101.711034,43,0.0
3,3.167949,101.711964,44,0.0
3,3.167943,101.712941,45,0.0
3,3.16793,101.713247,46,0.0
3,3.167278,101.714003,47,0.0
3,3.167168,101.714126,48,0.0
3,3.167045,101.714243,49,0.0
3,3.166838,101.714436,50,0.0
3,3.166776,101.714486,51,0.0
3,3.166698,101.714546,52,0.0
4,3.167965,101.704507,1,0.0
4,3.167964,101.704302,2,0.0
4,3.167963,101.704144,3,0.0
4,3.167974,101.703956,4,0.0
4,3.16798,101.703841,5,0.0
4,3.167979,101.703402,6,0.0
4,3.167978,101.703149,7,0.0
4,3.167978,101.702973,8,0.0
4,3.167991,101.702497,9,0.0
4,3.167992,101.702247,10,0.0
4,3.167993,101.701885,11,0.0
4,3.16798,101.701306,12,0.0
4,3.167987,101.700783,13,0.0
4,3.167984,101.700665,14,0.0
4,3.167949,101.700526,15,0.0
4,3.167798,101.700118,16,0.0
5,3.149431,101.696422,1,0.0
5,3.149429,101.696421,2,0.0
5,3.150944,101.695102,3,0.0
5,3.151219,101.694702,4,0.0
5,3.151295,101.694421,5,0.0
5,3.151322,101.694107,6,0.0
5,3.151313,101.693874,7,0.0
5,3.151197,101.693173,8,0.0
5,3.15095,101.693151,9,0.0
5,3.15077,101.693111,10,0.0
5,3.150694,101.693081,11,0.0
5,3.150653,101.693055,12,0.0
5,3.150582,101.692964,13,0.0
5,3.150559,101.692902,14,0.0
5,3.150548,101.692845,15,0.0
5,3.150551,101.692763,16,0.0
5,3.150569,101.692704,17,0.0
5,3.150592,101.692644,18,0.0
5,3.150638,101.69258,19,0.0
5,3.15069,101.692555,20,0.0
5,3.150784,101.692538,21,0.0
5,3.150937,101.692545,22,0.0
5,3.151159,101.692582,23,0.0
5,3.151295,101.692519,24,0.0
5,3.1516,101.692317,25,0.0
5,3.152076,101.692052,26,0.0
