stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,1001511,"KL Sentral, Jalan Stesen Sentral 3",,3.133604,101.686874,1,,0,
2,1002492,"Petronas (opp.), Jalan Tun Sambanthan",,3.135682,101.689865,1,,0,
3,1000531,"Dayabumi, Jalan Tun Sambanthan",,3.142201,101.694595,1,,0,
4,1001096,"Central Market, Jalan Tun Tan Cheng Lock",,3.144384,101.69521,1,,0,
5,1001672,"Kota Raya, Jalan Tun Tan Cheng Lock",,3.145496,101.69813,1,,0,
6,1000934,"Hospital Tung Shin, Jalan Pudu",,3.145222,101.70462,1,,0,
7,1000953,"Alliance Bank, Jalan Pudu",,3.144655,101.705864,1,,0,
8,1002643,"Penjara Pudu, Jalan Hang Tuah",,3.141537,101.707375,1,,0,
9,1000718,"Flat Kenanga, Jalan Hang Tuah",,3.138784,101.70512,1,,0,
10,1001536,"Flat Loke Yew, Jalan Loke Yew",,3.135819,101.70516,1,,0,
11,1000723,"Shell Loke Yew, Jalan Loke Yew",,3.13332,101.70753,1,,0,
12,1001038,"SRJK ( C ) Chung Hwa, Jalan Loke Yew",,3.132104,101.70869,1,,0,
13,1000494,"Classic, Jalan Loke Yew",,3.130187,101.710594,1,,0,
14,1001814,"Fajar Sungai Besi, Jalan Sungai Besi",,3.130204,101.71218,1,,0,
15,1004250,"Stesen LRT Pudu, Jalan Sungai Besi",,3.133382,101.7129,1,,0,
16,1002287,"Pasar Pudu (opp.), Jalan Pasar",,3.135169,101.71475,1,,0,
17,1001306,"Kedai Letrik (opp.), Jalan Pasar",,3.135237,101.71668,1,,0,
18,1003344,"SMK Cochrane, Jalan Cochrane",,3.133855,101.72204,1,,0,
19,1001379,"Kelab Telekom, Jalan Cochrane",,3.132929,101.72536,1,,0,
20,1003879,"TM, Jalan Cochrane",,3.131661,101.72994,1,,0,
21,1001968,"Maybank, Jalan Mahkota",,3.129633,101.73197,1,,0,
22,1001607,"Kolej Teknologi YPG, Jalan Mahkota",,3.128335,101.73271,1,,0,
24,1003900,"Hab Bas Maluri, Jalan Cheras",,3.124039,101.727844,1,,0,
25,1000276,"Kompleks MAKSAK, Jalan Cheras",,3.119173,101.728386,1,,0,
26,1002248,"Puteri Islam Malaysia, Jalan Cheras",,3.116824,101.728355,1,,0,
27,1000783,"Flat Sri Sabah, Jalan Cheras",,3.116754,101.727905,1,,0,
28,1003671,"Stadium Badminton, Jalan Cheras",,3.119351,101.728035,1,,0,
29,1001808,"Stesen LRT Maluri, Jalan Cheras",,3.123425,101.72777,1,,0,
30,1001206,"Jusco Maluri, Jalan Cheras",,3.125086,101.727,1,,0,
31,1001212,"Jusco Maluri, Jalan Jejaka",,3.125525,101.729004,1,,0,
32,1001132,Jalan Mahkota,,3.12728,101.73209,1,,0,
33,1001302,"Kedai Kulit Chai & Sons, Jalan Mahkota",,3.128276,101.73271,1,,0,
34,1002460,"Petronas Gas, Jalan Mahkota",,3.131445,101.729866,1,,0,
35,1001705,"Kuarters TM, Jalan Cochrane",,3.132154,101.72766,1,,0,
36,1002838,"Rumah 101, Jalan Cochrane",,3.132888,101.72476,1,,0,
37,1004242,"Wisma Indah, Jalan Cochrane",,3.134562,101.718735,1,,0,
38,1001307,"Kedai Letrik, Jalan Pasar",,3.135079,101.71675,1,,0,
39,1004251,"Wisma Pudu Emas, Jalan Sungai Besi",,3.132901,101.71297,1,,0,
41,1001039,"Selepas Bulatan Loke Yew, Jalan Loke Yew",,3.129172,101.7112,1,,0,
42,1001886,"Jejantas Flat Loke Yew, Jalan Hang Tuah",,3.133274,101.70722,1,,0,
43,1001885,"SMK Victoria, Jalan Hang Tuah",,3.138264,101.70446,1,,0,
44,1002058,"IPK Kuala Lumpur, Jalan Hang Tuah",,3.140983,101.706024,1,,0,
45,1000948,"Hotel Swiss Garden, Jalan Pudu",,3.144413,101.70555,1,,0,
47,1000532,"Pasar Seni Daya Bumi, Jalan Tun Tan Cheng Lock",,3.142606,101.69475,1,,0,
48,1000857,"TM, Jalan Tun Sambanthan",,3.137468,101.693245,1,,0,
49,1002076,"Muzium Negara (opp.), Jalan Travers",,3.137005,101.68805,1,,0,
50,1000071,"Caltex (opp.), Jalan Travers",,3.133556,101.68385,1,,0,
51,1003609,"Sri Kota (opp.), Jalan Travers",,3.13035,101.684235,1,,0,
52,1000968,"Hab Bas Titiwangsa, Jalan Tun Razak",,3.171996,101.69604,1,,0,
53,1002414,"Perkim (opp.), Jalan Ipoh",,3.171483,101.69321,1,,0,
54,1000514,"Hospital Damai, Jalan Ipoh",,3.170025,101.69528,1,,0,
55,1003247,"Shell, Jalan Ipoh",,3.167958,101.69757,1,,0,
56,1002104,"Institut Penyelidikan Perubatan, Jalan Raja Muda Abdul Aziz",,3.167583,101.699524,1,,0,
57,1004138,"Medan Selera Stadium Raja Muda, Jalan Raja Muda Abdul Aziz",,3.167964,101.704384,1,,0,
58,1003643,"SRK Raja Muda Abdul Aziz, Jalan Raja Muda Abdul Aziz",,3.168086,101.70736,1,,0,
59,1004274,"Yayasan Selangor, Jalan Raja Muda Abdul Aziz",,3.168104,101.70952,1,,0,
60,1002016,"Menara TH Selborn, Jalan Raja Muda Abdul Aziz",,3.167953,101.71104,1,,0,
61,1000758,"Flat PKNS Sungai Baru (opp.), Jalan Tun Razak",,3.166632,101.71459,1,,0,
62,1004279,"City Square, Jalan Tun Razak",,3.161576,101.71967,1,,0,
63,1000492,"Citibank, Jalan Ampang",,3.160399,101.717316,1,,0,
64,1002014,"Menara Atlan, Jalan Ampang",,3.159992,101.71584,1,,0,
65,1001518,"KLCC, Jalan Ampang",,3.159011,101.71236,1,,0,
66,1000094,"Angkasaraya, Jalan Ampang",,3.159082,101.709656,1,,0,
67,1002712,"Hotel Renaissance (opp.), Jalan Ampang",,3.1568,101.70551,1,,0,
71,1004245,"Wisma Lim Foo Yong, Jalan Raja Chulan",,3.150534,101.70895,1,,0,
74,1000958,"HSBC Bukit Bintang, Jalan Sultan Ismail",,3.147718,101.71085,1,,0,
78,1000998,"Hotel Impiana (opp.), Jalan Pinang",,3.153863,101.71173,1,,0,
79,1000649,"Exxon Mobil, Persiaran KLCC",,3.153796,101.71576,1,,0,
80,1001088,"The Binjai Condominium, Jalan Binjai",,3.154226,101.71732,1,,0,
81,1000077,"Ambank, Jalan Yap Kwan Seng",,3.160792,101.71098,1,,0,
82,1002764,"Restoran Kampung Pandan, Jalan Yap Kwan Seng",,3.162568,101.71374,1,,0,
83,1000757,"Flat PKNS Sungai Baru, Jalan Tun Razak",,3.166204,101.714615,1,,0,
84,1002484,"Petronas, Jalan Raja Muda Abdul Aziz",,3.167829,101.71126,1,,0,
85,1004273,"Yayasan Selangor (opp.), Jalan Raja Muda Abdul Aziz",,3.167832,101.70882,1,,0,
86,1003642,"Wisma Naza, Jalan Raja Muda Abdul Aziz",,3.167864,101.70649,1,,0,
87,1000945,"Stadium Raja Muda (opp.), Jalan Raja Muda Abdul Aziz",,3.167965,101.704506,1,,0,
88,1000946,"Hotel Putra Muda, Jalan Raja Muda Abdul Aziz",,3.167553,101.69944,1,,0,
89,1000887,"Hotel Grand Seasons, Jalan Pahang",,3.170168,101.69824,1,,0,
90,1000915,"Hospital Kuala Lumpur (opp.), Jalan Pahang",,3.172719,101.69904,1,,0,
91,1001170,"Pasar Seni, Jalan Sultan Mohamed",,3.143009,101.6956,1,,0,
92,1002080,"Mydin Sinar Kota, Jalan Tun Perak",,3.14676,101.698715,1,,0,
94,1000230,"Bank Negara Malaysia, Jalan Sultan Salahudin",,3.152077,101.69205,1,,0,
95,1001070,"JKR, Jalan Sultan Salahuddin",,3.153971,101.69043,1,,0,
