trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
MONFRI1,6,MONFRI,Maluri,,1,,,0
SAT1,6,SAT,Maluri,,1,,,0
SUN1,6,SUN,Maluri,,1,,,0
MONFRI2,6,MONFRI,KL Sentral,,0,,,0
SAT2,6,SAT,KL Sentral,,0,,,0
SUN2,6,SUN,KL Sentral,,0,,,0
MONFRI3,5,MONFRI,KLCC,,0,,3,0
SAT3,5,SAT,KLCC,,0,,3,0
SUN3,5,SUN,KLCC,,0,,3,0
MONFRI4,5,MONFRI,Titiwangsa,,1,,4,0
SAT4,5,SAT,Titiwangsa,,1,,4,0
SUN4,5,SUN,Titiwangsa,,1,,4,0
MONFRI5,8,MONFRI,Jalan Duta,,0,,5,0
SAT5,8,SAT,Jalan Duta,,0,,5,0
SUN5,8,SUN,Jalan Duta,,0,,5,0
MONFRI6,8,MONFRI,Jalan Sultan Mohamad,,1,,6,0
SAT6,8,SAT,Jalan Sultan Mohamad,,1,,6,0
SUN6,8,SUN,Jalan Sultan Mohamad,,1,,6,0
MONFRI7,10,MONFRI,Pinggiran Batu Caves,,0,,7,0
SAT7,10,SAT,Pinggiran Batu Caves,,0,,7,0
SUN7,10,SUN,Pinggiran Batu Caves,,0,,7,0
MONFRI8,10,MONFRI,Stesen LRT Gombak,,1,,8,0
SAT8,10,SAT,Stesen LRT Gombak,,1,,8,0
SUN8,10,SUN,Stesen LRT Gombak,,1,,8,0
MONFRI9,11,MONFRI,Kampung Nakhoda via Taman Samudera,,0,,,0
SAT9,11,SAT,Kampung Nakhoda via Taman Samudera,,0,,,0
SUN9,11,SUN,Kampung Nakhoda via Taman Samudera,,0,,,0
MONFRI10,11,MONFRI,Greenwood,,1,,,0
SAT10,11,SAT,Greenwood,,1,,,0
SUN10,11,SUN,Greenwood,,1,,,0
MONFRI11,12,MONFRI,Taman Setapak Garden,,0,,11,0
SAT11,12,SAT,Taman Setapak Garden,,0,,11,0
SUN11,12,SUN,Taman Setapak Garden,,0,,11,0
MONFRI12,12,MONFRI,Stesen LRT Taman Melati,,1,,12,0
SAT12,12,SAT,Stesen LRT Taman Melati,,1,,12,0
SUN12,12,SUN,Stesen LRT Taman Melati,,1,,12,0
MONFRI13,18,MONFRI,Titiwangsa via Bandar Baru Sentul,,0,,13,0
SAT13,18,SAT,Titiwangsa via Bandar Baru Sentul,,0,,13,0
SUN13,18,SUN,Titiwangsa via Bandar Baru Sentul,,0,,13,0
MONFRI14,18,MONFRI,Taman Dato Senu,,1,,14,0
SAT14,18,SAT,Taman Dato Senu,,1,,14,0
SUN14,18,SUN,Taman Dato Senu,,1,,14,0
MONFRI15,21,MONFRI,Taman Melewar,,0,,,0
SAT15,21,SAT,Taman Melewar,,0,,,0
SUN15,21,SUN,Taman Melewar,,0,,,0
MONFRI16,21,MONFRI,Stesen LRT Taman Melati,,1,,,0
SAT16,21,SAT,Stesen LRT Taman Melati,,1,,,0
SUN16,21,SUN,Stesen LRT Taman Melati,,1,,,0
MONFRI17,23,MONFRI,UIA,,0,,17,0
SAT17,23,SAT,UIA,,0,,17,0
SUN17,23,SUN,UIA,,0,,17,0
MONFRI18,23,MONFRI,Stesen LRT Gombak,,1,,,0
SAT18,23,SAT,Stesen LRT Gombak,,1,,,0
SUN18,23,SUN,Stesen LRT Gombak,,1,,,0
MONFRI19,189,MONFRI,Lebuh Pudu,,0,,19,0
SAT19,189,SAT,Lebuh Pudu,,0,,19,0
SUN19,189,SUN,Lebuh Pudu,,0,,19,0
MONFRI20,189,MONFRI,Pinggiran Batu Caves,,1,,20,0
SAT20,189,SAT,Pinggiran Batu Caves,,1,,20,0
SUN20,189,SUN,Pinggiran Batu Caves,,1,,20,0
MONFRI21,86,MONFRI,Lebuh Pudu,,0,,21,0
SAT21,86,SAT,Lebuh Pudu,,0,,21,0
SUN21,86,SUN,Lebuh Pudu,,0,,21,0
MONFRI22,86,MONFRI,Pinggiran Batu Caves,,1,,22,0
SAT22,86,SAT,Pinggiran Batu Caves,,1,,22,0
SUN22,86,SUN,Pinggiran Batu Caves,,1,,22,0
MONFRI23,92,MONFRI,Lebuh Pudu,,0,,,0
SAT23,92,SAT,Lebuh Pudu,,0,,,0
SUN23,92,SUN,Lebuh Pudu,,0,,,0
MONFRI24,92,MONFRI,Greenwood,,1,,24,0
SAT24,92,SAT,Greenwood,,1,,24,0
SUN24,92,SUN,Greenwood,,1,,24,0
MONFRI25,125,MONFRI,Lebuh Ampang,,0,,,0
SAT25,125,SAT,Lebuh Ampang,,0,,,0
SUN25,125,SUN,Lebuh Ampang,,0,,,0
MONFRI26,125,MONFRI,Stesen LRT Taman Melati,,1,,26,0
SAT26,125,SAT,Stesen LRT Taman Melati,,1,,26,0
SUN26,125,SUN,Stesen LRT Taman Melati,,1,,26,0
MONFRI27,126,MONFRI,Medan Pasar,,0,,,0
SAT27,126,SAT,Medan Pasar,,0,,,0
SUN27,126,SUN,Medan Pasar,,0,,,0
MONFRI28,126,MONFRI,Taman Jasa Utama,,1,,28,0
SAT28,126,SAT,Taman Jasa Utama,,1,,28,0
SUN28,126,SUN,Taman Jasa Utama,,1,,28,0
MONFRI29,140,MONFRI,Bangkok Bank,,0,,,0
SAT29,140,SAT,Bangkok Bank,,0,,,0
SUN29,140,SUN,Bangkok Bank,,0,,,0
MONFRI30,140,MONFRI,Mont Kiara / Desa Hartamas,,1,,30,0
SAT30,140,SAT,Mont Kiara / Desa Hartamas,,1,,30,0
SUN30,140,SUN,Mont Kiara / Desa Hartamas,,1,,30,0
MONFRI31,191,MONFRI,Medan Pasar,,0,,,0
SAT31,191,SAT,Medan Pasar,,0,,,0
SUN31,191,SUN,Medan Pasar,,0,,,0
MONFRI32,191,MONFRI,Damansara Damai,,1,,32,0
SAT32,191,SAT,Damansara Damai,,1,,32,0
SUN32,191,SUN,Damansara Damai,,1,,32,0
MONFRI33,148,MONFRI,Medan Pasar,,0,,,0
SAT33,148,SAT,Medan Pasar,,0,,,0
SUN33,148,SUN,Medan Pasar,,0,,,0
MONFRI34,148,MONFRI,Damansara Damai,,1,,34,0
SAT34,148,SAT,Damansara Damai,,1,,34,0
SUN34,148,SUN,Damansara Damai,,1,,34,0
MONFRI35,87,MONFRI,Lebuh Pudu,,0,,35,0
SAT35,87,SAT,Lebuh Pudu,,0,,35,0
SUN35,87,SUN,Lebuh Pudu,,0,,35,0
MONFRI36,87,MONFRI,Pinggiran Batu Caves,,1,,36,0
SAT36,87,SAT,Pinggiran Batu Caves,,1,,36,0
SUN36,87,SUN,Pinggiran Batu Caves,,1,,36,0
MONFRI37,89,MONFRI,Lebuh Ampang,,0,,,0
SAT37,89,SAT,Lebuh Ampang,,0,,,0
SUN37,89,SUN,Lebuh Ampang,,0,,,0
MONFRI38,89,MONFRI,UIA,,1,,38,0
SAT38,89,SAT,UIA,,1,,38,0
SUN38,89,SUN,UIA,,1,,38,0
MONFRI39,91,MONFRI,Bangkok Bank,,0,,,0
SAT39,91,SAT,Bangkok Bank,,0,,,0
SUN39,91,SUN,Bangkok Bank,,0,,,0
MONFRI40,91,MONFRI,Sri Segambut,,1,,40,0
SAT40,91,SAT,Sri Segambut,,1,,40,0
SUN40,91,SUN,Sri Segambut,,1,,40,0
MONFRI41,188,MONFRI,Chow Kit,,0,,,0
SAT41,188,SAT,Chow Kit,,0,,,0
SUN41,188,SUN,Chow Kit,,0,,,0
MONFRI42,188,MONFRI,"Batu 12, Gombak",,1,,42,0
SAT42,188,SAT,"Batu 12, Gombak",,1,,42,0
SUN42,188,SUN,"Batu 12, Gombak",,1,,42,0
MONFRI43,211,MONFRI,"Kotaraya, Jalan Tun Tan Cheng",,0,,,0
SAT43,211,SAT,"Kotaraya, Jalan Tun Tan Cheng",,0,,,0
SUN43,211,SUN,"Kotaraya, Jalan Tun Tan Cheng",,0,,,0
MONFRI44,211,MONFRI,Bandar Dato Senu,,1,,44,0
SAT44,211,SAT,Bandar Dato Senu,,1,,44,0
SUN44,211,SUN,Bandar Dato Senu,,1,,44,0
MONFRI45,161,MONFRI,Kotaraya,,0,,,0
SAT45,161,SAT,Kotaraya,,0,,,0
SUN45,161,SUN,Kotaraya,,0,,,0
MONFRI46,161,MONFRI,Bandar Dato Senu,,1,,46,0
SAT46,161,SAT,Bandar Dato Senu,,1,,46,0
SUN46,161,SUN,Bandar Dato Senu,,1,,46,0
MONFRI47,96,MONFRI,Lebuh Ampang via MINDEF,,0,,47,0
SAT47,96,SAT,Lebuh Ampang via MINDEF,,0,,47,0
SUN47,96,SUN,Lebuh Ampang via MINDEF,,0,,47,0
MONFRI48,96,MONFRI,Taman Melawati,,1,,48,0
SAT48,96,SAT,Taman Melawati,,1,,48,0
SUN48,96,SUN,Taman Melawati,,1,,48,0
MONFRI49,95,MONFRI,Jalan Hang Lekiu (Lin Ho),,0,,,0
SAT49,95,SAT,Jalan Hang Lekiu (Lin Ho),,0,,,0
SUN49,95,SUN,Jalan Hang Lekiu (Lin Ho),,0,,,0
MONFRI50,95,MONFRI,Sri Nilam,,1,,,0
SAT50,95,SAT,Sri Nilam,,1,,,0
SUN50,95,SUN,Sri Nilam,,1,,,0
MONFRI51,200,MONFRI,Jalan Hang Lekiu (Lin Ho),,0,,,0
SAT51,200,SAT,Jalan Hang Lekiu (Lin Ho),,0,,,0
SUN51,200,SUN,Jalan Hang Lekiu (Lin Ho),,0,,,0
MONFRI52,200,MONFRI,Sri Nilam,,1,,,0
SAT52,200,SAT,Sri Nilam,,1,,,0
SUN52,200,SUN,Sri Nilam,,1,,,0
MONFRI53,94,MONFRI,Lebuh Ampang via Kelompok,,0,,53,0
SAT53,94,SAT,Lebuh Ampang via Kelompok,,0,,53,0
SUN53,94,SUN,Lebuh Ampang via Kelompok,,0,,53,0
MONFRI54,94,MONFRI,Bukit Antarabangsa via AU3 Jentayu Keramat,,1,,54,0
SAT54,94,SAT,Bukit Antarabangsa via AU3 Jentayu Keramat,,1,,54,0
SUN54,94,SUN,Bukit Antarabangsa via AU3 Jentayu Keramat,,1,,54,0
MONFRI55,93,MONFRI,Titiwangsa / Chow Kit,,0,,55,0
SAT55,93,SAT,Titiwangsa / Chow Kit,,0,,55,0
SUN55,93,SUN,Titiwangsa / Chow Kit,,0,,55,0
MONFRI56,93,MONFRI,Taman Melawati,,1,,56,0
SAT56,93,SAT,Taman Melawati,,1,,56,0
SUN56,93,SUN,Taman Melawati,,1,,56,0
MONFRI57,37,MONFRI,Desa Pandan,,0,,57,0
SAT57,37,SAT,Desa Pandan,,0,,57,0
SUN57,37,SUN,Desa Pandan,,0,,57,0
MONFRI58,37,MONFRI,Stesen LRT Dato Keramat,,1,,58,0
SAT58,37,SAT,Stesen LRT Dato Keramat,,1,,58,0
SUN58,37,SUN,Stesen LRT Dato Keramat,,1,,58,0
